fold,expected_log_loss,actual_log_loss,abs_diff_log_loss,expected_accuracy,actual_accuracy,abs_diff_accuracy,expected_macro_f1,actual_macro_f1,abs_diff_macro_f1,within_tolerance
0,0.3894707864478374,0.3894707864478374,0.0,0.8484375,0.8484375,0.0,0.6313309690529675,0.6313309690529675,0.0,True
1,0.3723440979029816,0.3723440979029816,0.0,0.8609375,0.8609375,0.0,0.6093997599058395,0.6093997599058395,0.0,True
2,0.3817388972498605,0.38173889724986054,5.551115123125783e-17,0.8479166666666667,0.8479166666666667,0.0,0.6706125709899973,0.6706125709899973,0.0,True
3,0.3773737074788787,0.3773737074788787,0.0,0.8463541666666666,0.8463541666666666,0.0,0.6125744235923003,0.6125744235923003,0.0,True
4,0.3888117836978295,0.3888117836978295,0.0,0.8458333333333333,0.8458333333333333,0.0,0.6762784769207334,0.6762784769207334,0.0,True
