model,fold,log_loss,accuracy,macro_f1,zero_probability_rate,mean_max_probability
KNN_scaled,0,2.6326215318358144,0.81875,0.5665792658974915,0.49375,0.8610416666666667
KNN_unscaled,0,2.7648494041289937,0.7822916666666667,0.531315493315467,0.45694444444444443,0.8329166666666666
KNN_scaled,1,2.404285957807711,0.8166666666666667,0.5623550553813145,0.49201388888888886,0.86
KNN_unscaled,1,3.035425814231618,0.7739583333333333,0.5047159487995098,0.45555555555555555,0.8333333333333334
KNN_scaled,2,2.2822379496289793,0.8177083333333334,0.5483310477023337,0.49930555555555556,0.8685416666666668
KNN_unscaled,2,3.393463942077034,0.7697916666666667,0.5026392961876832,0.4666666666666667,0.841875
KNN_scaled,3,2.162302433372394,0.8322916666666667,0.5629647935667353,0.49618055555555557,0.86375
KNN_unscaled,3,3.1235873825734575,0.7791666666666667,0.5105880945945732,0.465625,0.8364583333333333
KNN_scaled,4,2.4695127117747195,0.8302083333333333,0.5590598144905378,0.48819444444444443,0.8602083333333332
KNN_unscaled,4,3.0843496309799265,0.7625,0.5097320646586322,0.4479166666666667,0.8239583333333333
KNN_scaled,5,2.6173219550075024,0.815625,0.5826418693371482,0.49756944444444445,0.8620833333333333
KNN_unscaled,5,2.8449221268227607,0.784375,0.5209779336416891,0.44479166666666664,0.8254166666666668
KNN_scaled,6,2.4551503048154775,0.8104166666666667,0.5758110436140739,0.4847222222222222,0.8575
KNN_unscaled,6,3.5473734709936213,0.765625,0.5489688962063409,0.4576388888888889,0.8289583333333334
KNN_scaled,7,2.3930469466628375,0.821875,0.5248899484524626,0.496875,0.8639583333333333
KNN_unscaled,7,2.975369895512831,0.7895833333333333,0.5186628540744698,0.4625,0.8395833333333333
KNN_scaled,8,2.6739251980412675,0.796875,0.5606718998224465,0.49895833333333334,0.8645833333333334
KNN_unscaled,8,3.156773481518093,0.765625,0.5326876428076893,0.44305555555555554,0.8208333333333333
KNN_scaled,9,2.4450212206146062,0.815625,0.5793933561265144,0.496875,0.8683333333333334
KNN_unscaled,9,2.837571062716298,0.7833333333333333,0.5172252605441302,0.46111111111111114,0.8329166666666666
