model,log_loss_oof,ty_le_p_max_tren_0.99,ty_le_p_dung_duoi_0.01,p_dung_nho_nhat,ty_le_p_dung_bang_0
Decision Tree (max_depth=None),8.30881301563711,1.0,0.23052083333333334,0.0,0.23052083333333334
Decision Tree (max_depth=3),0.4742665372511531,0.0,0.00020833333333333335,0.00847457627118644,0.0
Random Forest (600 cây),0.40590484293028795,0.0060416666666666665,0.0014583333333333334,0.0031865479248116796,0.0
XGBoost (400 cây nông),0.38194785455547753,0.07729166666666666,0.003958333333333334,0.0008178603602573276,0.0
