model,log_loss_mean,log_loss_std,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,zero_probability_rate_mean,zero_probability_rate_std,mean_max_probability_mean,mean_max_probability_std,log_loss_delta_vs_scaled
KNN_scaled,2.4535426209561306,0.15917974896805867,0.8176041666666667,0.009911962975660488,0.5622698094391059,0.016716804094648707,0.49444444444444446,0.004814035727566083,0.8630000000000001,0.0035724425368384325,0.0
KNN_unscaled,3.0763686211554635,0.24735630910612613,0.775625,0.009409658158863516,0.5197513484830185,0.01440312292759901,0.4561805555555556,0.008411414039589593,0.8316250000000001,0.006822399789582038,0.6228260001993329
