n_bins,top_label_ece,macro_classwise_ece
5,0.011650781712184357,0.006569257194866965
10,0.011650781712184354,0.008474036241951312
15,0.013832297852883703,0.009431729824521326
20,0.014439323438952349,0.01060281174874906
