reference_model,comparator_model,n_folds,mean_log_loss_reference,mean_log_loss_comparator,mean_difference,std_difference,ci_95_low,ci_95_high,t_statistic,p_value_raw,p_value_bonferroni,adjusted_alpha,significant_bonferroni,effect_direction
XGBoost,Random Forest,5,0.3819478545554776,0.40590484293028783,-0.02395698837481034,0.0038229866090069,-0.028703853212829308,-0.019210123536791374,-14.012461988760117,0.00015048383586672602,0.00075241917933363,0.01,True,XGBoost_lower_log_loss
XGBoost,Logistic Regression,5,0.3819478545554776,0.4405090692860484,-0.05856121473057089,0.007054705788863849,-0.06732078892652284,-0.04980164053461895,-18.56163260404476,4.9582617386194754e-05,0.00024791308693097375,0.01,True,XGBoost_lower_log_loss
XGBoost,Decision Tree,5,0.3819478545554776,0.4742665372511531,-0.09231868269567553,0.0089652434954576,-0.10345050277911573,-0.08118686261223533,-23.0256824820604,2.1079480391400527e-05,0.00010539740195700264,0.01,True,XGBoost_lower_log_loss
XGBoost,KNN,5,0.3819478545554776,0.6602645271506942,-0.27831667259521675,0.05739325743830297,-0.3495798140959981,-0.20705353109443542,-10.843346883794837,0.0004104555206769703,0.0020522776033848516,0.01,True,XGBoost_lower_log_loss
XGBoost,Naive Bayes,5,0.3819478545554776,2.210684514167899,-1.828736659612422,0.2119577128716535,-2.0919169208267654,-1.5655563983980787,-19.292430685527286,4.2546546836035806e-05,0.00021273273418017904,0.01,True,XGBoost_lower_log_loss
