Model,Accuracy,Macro_F1,Log_Loss,Train_Time(s),Model_File
XGBOOST,0.85,0.6295938070536446,0.4109988167092691,0.52,../results/models/XGBOOST.pkl
Logistic_Regression,0.8316666666666667,0.5481071122431532,0.44575332347427526,0.33,../results/models/Logistic_Regression.pkl
Random_Forest,0.8479166666666667,0.5996710974679114,0.5418999908892471,0.28,../results/models/Random_Forest.pkl
Naive_Bayes,0.5854166666666667,0.46224453343248145,2.268460677403567,0.01,../results/models/Naive_Bayes.pkl
KNN,0.8195833333333333,0.5511036743003387,2.453111133008359,0.0,../results/models/KNN.pkl
Decision_Tree,0.7833333333333333,0.5543649757592776,7.8094582343087176,0.17,../results/models/Decision_Tree.pkl
